               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,             0.11153,            0.027682,                   0,          0.00066667,              0.1875,          0.00048609,          0.00022257,            0.094023,              0.0158,                   0,            0.070882,           0.0032353,           0.0032353
                   1,            0.091758,            0.022579,                   0,           0.0023333,             0.65625,           0.0068725,            0.001427,            0.085566,            0.011452,                   0,            0.040817,           0.0065036,           0.0065036
                   2,            0.085654,            0.018888,                   0,           0.0027778,             0.78125,             0.21315,            0.064828,            0.087105,           0.0089889,                   0,            0.010686,           0.0097059,           0.0097059
                   3,            0.077909,            0.018936,                   0,             0.13831,              0.0625,             0.15738,            0.047223,            0.076609,           0.0089383,                   0,            0.009703,            0.009703,            0.009703
                   4,            0.071476,            0.018479,                   0,             0.43482,              0.4375,             0.44935,             0.12901,            0.066873,           0.0087357,                   0,            0.009703,            0.009703,            0.009703
                   5,            0.063626,             0.01944,                   0,             0.44911,             0.40625,             0.39272,              0.1538,             0.06117,           0.0089111,                   0,            0.009604,            0.009604,            0.009604
                   6,            0.060847,            0.017249,                   0,             0.46383,             0.37859,             0.41914,            0.099139,            0.063237,           0.0084939,                   0,            0.009505,            0.009505,            0.009505
                   7,            0.055168,            0.018073,                   0,               0.793,              0.4375,              0.6113,             0.21602,            0.052924,           0.0083203,                   0,            0.009406,            0.009406,            0.009406
                   8,            0.053453,             0.01648,                   0,             0.78294,             0.40625,             0.63618,             0.24984,            0.049342,           0.0077081,                   0,            0.009307,            0.009307,            0.009307
                   9,            0.051102,            0.015057,                   0,             0.66434,             0.74236,             0.70642,             0.25564,            0.048482,           0.0072803,                   0,            0.009208,            0.009208,            0.009208
                  10,            0.050437,            0.015115,                   0,             0.65991,             0.66722,             0.68486,             0.33049,            0.045076,           0.0070181,                   0,            0.009109,            0.009109,            0.009109
